Name,Path,Data Type,Logical Address,Comment,Hmi Visible,Hmi Accessible,Hmi Writeable,Typeobject ID,Version ID
Start,Default tag table,Bool,%I0.0,Tín hiệu nhấn nút start,True,True,True,,
Stop,Default tag table,Bool,%I0.1,Tín hiệu nhấn nút stop,True,True,True,,
Reset,Default tag table,Bool,%I0.2,Tín hiệu nhấn nút Reset,True,True,True,,
EMG,Default tag table,Bool,%I0.3,,True,True,True,,
SS Position1 CV Input,Default tag table,Bool,%I0.4,,True,True,True,,
SS Position2 CV Input,Default tag table,Bool,%I0.5,,True,True,True,,
SS Up XL Nâng Input,Default tag table,Bool,%I1.0,,True,True,True,,
SS Down XL Nâng Input,Default tag table,Bool,%I1.1,,True,True,True,,
SS Position3 CV Input,Default tag table,Bool,%I11.4,,True,True,True,,
SS Rack Input XL,Default tag table,Bool,%I1.4,,True,True,True,,
SS Limit 1 Tranfer1,Default tag table,Bool,%I1.5,,True,True,True,,
SS Limit 1 Tranfer2,Default tag table,Bool,%I2.1,,True,True,True,,
SS Open XL Robot,Default tag table,Bool,%I2.3,,True,True,True,,
SS Close XL Robot,Default tag table,Bool,%I2.4,,True,True,True,,
SS Down XL Robot,Default tag table,Bool,%I2.5,,True,True,True,,
SS Up XL Robot,Default tag table,Bool,%I2.6,Cảm biến Xy Lanh dọc của Robot,True,True,True,,
SS Up XL Nâng Output,Default tag table,Bool,%I3.1,,True,True,True,,
SS Down XL Nâng Output,Default tag table,Bool,%I3.2,,True,True,True,,
SS Up XL Lift 1,Default tag table,Bool,%I5.5,,True,True,True,,
SS Down XL Lift 1,Default tag table,Bool,%I5.6,Trgger DOwnnXLn3,True,True,True,,
SS Up XL Lift 5,Default tag table,Bool,%I5.7,,True,True,True,,
SS Down XL Lift 5,Default tag table,Bool,%I6.0,,True,True,True,,
SS LW Tank1,Default tag table,Bool,%I6.2,,True,True,True,,
SS LW Tank2,Default tag table,Bool,%I6.4,,True,True,True,,
SS LW Tank3,Default tag table,Bool,%I6.6,,True,True,True,,
SS_Rack_Robot,Default tag table,Bool,%I6.7,,True,True,True,,
SS LW Tank4,Default tag table,Bool,%I7.0,,True,True,True,,
SS LW Tank5,Default tag table,Bool,%I7.2,,True,True,True,,
SS LW Tank6,Default tag table,Bool,%I7.4,,True,True,True,,
SS LW Tank7,Default tag table,Bool,%I7.6,,True,True,True,,
SS LW Tank8,Default tag table,Bool,%I8.0,,True,True,True,,
SS LW Tank9,Default tag table,Bool,%I8.2,,True,True,True,,
SS W Tank1,Default tag table,Bool,%I8.5,,True,True,True,,
SS W Tank2,Default tag table,Bool,%I8.6,,True,True,True,,
SS W Tank3,Default tag table,Bool,%I8.7,,True,True,True,,
SS W Tank4,Default tag table,Bool,%I9.0,,True,True,True,,
SS W Tank5,Default tag table,Bool,%I9.1,,True,True,True,,
SS W Tank6,Default tag table,Bool,%I9.2,,True,True,True,,
SS W Tank7,Default tag table,Bool,%I9.3,,True,True,True,,
SS W Tank8,Default tag table,Bool,%I9.4,,True,True,True,,
SS W Tank9,Default tag table,Bool,%I9.5,,True,True,True,,
SS Rack BT Out,Default tag table,Bool,%I9.7,,True,True,True,,
Up_Limit_Lift,Default tag table,Bool,%I10.2,Cảm Biến Trên Axis Lift,True,True,True,,
Down_Limit_Lift,Default tag table,Bool,%I10.3,Cảm biến Dưới Axis Lift,True,True,True,,
Jog + Robot,Default tag table,Bool,%I10.4,Trigger JOG +,True,True,True,,
Jog - Robot,Default tag table,Bool,%I10.5,Trigger JOG -,True,True,True,,
SS Up XL Lift 2,Default tag table,Bool,%I10.6,Cảm Biến Trên Xy Lanh Nâng  Bath 4,True,True,True,,
SS Down XL Lift 2,Default tag table,Bool,%I10.7,Cảm Biến Dưới Xy Lanh Nâng  Bath 4,True,True,True,,
